"","SampleId","PopId","SubPopId","K","run","variable","value"
"371","ENPAK29","ENP","AK","K = 2",3,"Cluster1",0.690587
"372","ENPAK30","ENP","AK","K = 2",3,"Cluster1",0.683926
"373","ENPBC16","ENP","BC","K = 2",3,"Cluster1",0.653169
"374","ENPBC17","ENP","BC","K = 2",3,"Cluster1",0.536674
"375","ENPBC18","ENP","BC","K = 2",3,"Cluster1",0.682345
"376","ENPCA01","ENP","CA","K = 2",3,"Cluster1",0.592055
"377","ENPCA02","ENP","CA","K = 2",3,"Cluster1",0.99999
"378","ENPCA03","ENP","CA","K = 2",3,"Cluster1",0.99999
"379","ENPCA04","ENP","CA","K = 2",3,"Cluster1",1e-05
"380","ENPCA05","ENP","CA","K = 2",3,"Cluster1",0.679343
"381","ENPCA06","ENP","CA","K = 2",3,"Cluster1",0.595405
"382","ENPCA07","ENP","CA","K = 2",3,"Cluster1",0.99999
"383","ENPCA08","ENP","CA","K = 2",3,"Cluster1",0.492207
"384","ENPCA09","ENP","CA","K = 2",3,"Cluster1",0.635536
"385","ENPOR10","ENP","OR","K = 2",3,"Cluster1",0.523953
"386","ENPOR11","ENP","OR","K = 2",3,"Cluster1",0.99999
"387","ENPOR12","ENP","OR","K = 2",3,"Cluster1",0.634924
"388","ENPOR13","ENP","OR","K = 2",3,"Cluster1",1e-05
"389","ENPWA14","ENP","WA","K = 2",3,"Cluster1",1e-05
"390","ENPWA15","ENP","WA","K = 2",3,"Cluster1",0.616271
"391","ENPAK19","ENP","AK","K = 2",4,"Cluster1",0.488452
"392","ENPAK20","ENP","AK","K = 2",4,"Cluster1",0.99999
"393","ENPAK21","ENP","AK","K = 2",4,"Cluster1",0.498802
"394","ENPAK22","ENP","AK","K = 2",4,"Cluster1",1e-05
"395","ENPAK23","ENP","AK","K = 2",4,"Cluster1",0.513475
"396","ENPAK24","ENP","AK","K = 2",4,"Cluster1",1e-05
"397","ENPAK25","ENP","AK","K = 2",4,"Cluster1",0.480723
"398","ENPAK26","ENP","AK","K = 2",4,"Cluster1",0.42615
"399","ENPAK27","ENP","AK","K = 2",4,"Cluster1",0.498506
"400","ENPAK28","ENP","AK","K = 2",4,"Cluster1",0.433352
"401","ENPAK29","ENP","AK","K = 2",4,"Cluster1",0.543408
"402","ENPAK30","ENP","AK","K = 2",4,"Cluster1",0.509708
"403","ENPBC16","ENP","BC","K = 2",4,"Cluster1",0.41422
"404","ENPBC17","ENP","BC","K = 2",4,"Cluster1",0.415386
"405","ENPBC18","ENP","BC","K = 2",4,"Cluster1",0.491561
"406","ENPCA01","ENP","CA","K = 2",4,"Cluster1",0.43061
"407","ENPCA02","ENP","CA","K = 2",4,"Cluster1",0.99999
"408","ENPCA03","ENP","CA","K = 2",4,"Cluster1",0.99999
"409","ENPCA04","ENP","CA","K = 2",4,"Cluster1",0.436406
"410","ENPCA05","ENP","CA","K = 2",4,"Cluster1",0.57016
