"","SampleId","PopId","SubPopId","type","length","bcftools","RZooRoH"
"256","ENPCA06","ENP","CA","Total length (Mb)","5_Inf",9158557,9153781
"257","ENPCA07","ENP","CA","Total length (Mb)","5_Inf",0,0
"258","ENPCA08","ENP","CA","Total length (Mb)","5_Inf",0,0
"259","ENPOR10","ENP","OR","Total length (Mb)","5_Inf",0,0
"260","ENPOR11","ENP","OR","Total length (Mb)","5_Inf",0,0
"261","ENPOR13","ENP","OR","Total length (Mb)","5_Inf",0,0
"262","ENPWA14","ENP","WA","Total length (Mb)","5_Inf",0,0
"263","ENPWA15","ENP","WA","Total length (Mb)","5_Inf",0,0
"264","GOC002","GOC","GOC","Total length (Mb)","5_Inf",77573707,71216146
"265","GOC006","GOC","GOC","Total length (Mb)","5_Inf",32518658,25457917
"266","GOC025","GOC","GOC","Total length (Mb)","5_Inf",27951076,27925824
"267","GOC038","GOC","GOC","Total length (Mb)","5_Inf",59270022,52474638
"268","GOC050","GOC","GOC","Total length (Mb)","5_Inf",38492907,31453578
"269","GOC053","GOC","GOC","Total length (Mb)","5_Inf",35042788,28764489
"270","GOC063","GOC","GOC","Total length (Mb)","5_Inf",24490706,24483960
"271","GOC068","GOC","GOC","Total length (Mb)","5_Inf",16905225,16886217
"272","GOC071","GOC","GOC","Total length (Mb)","5_Inf",53620327,48554339
"273","GOC077","GOC","GOC","Total length (Mb)","5_Inf",42196115,33230172
"274","GOC080","GOC","GOC","Total length (Mb)","5_Inf",17210411,17198078
"275","GOC082","GOC","GOC","Total length (Mb)","5_Inf",37129409,23831810
"276","GOC086","GOC","GOC","Total length (Mb)","5_Inf",49337938,41372331
"277","GOC091","GOC","GOC","Total length (Mb)","5_Inf",76994185,70538240
"278","GOC100","GOC","GOC","Total length (Mb)","5_Inf",62517204,61036311
"279","GOC111","GOC","GOC","Total length (Mb)","5_Inf",47165565,44927599
"280","GOC112","GOC","GOC","Total length (Mb)","5_Inf",57201338,51168535
"281","GOC116","GOC","GOC","Total length (Mb)","5_Inf",53072654,47529158
"282","GOC125","GOC","GOC","Total length (Mb)","5_Inf",38005674,26753930
"283","ENPAK19","ENP","AK","Total number","all",388,423
"284","ENPAK20","ENP","AK","Total number","all",380,412
"285","ENPAK21","ENP","AK","Total number","all",412,406
"286","ENPAK22","ENP","AK","Total number","all",429,445
"287","ENPAK23","ENP","AK","Total number","all",416,433
"288","ENPAK24","ENP","AK","Total number","all",391,437
"289","ENPAK25","ENP","AK","Total number","all",454,462
"290","ENPAK26","ENP","AK","Total number","all",451,443
"291","ENPAK27","ENP","AK","Total number","all",430,437
"292","ENPAK28","ENP","AK","Total number","all",445,467
"293","ENPAK29","ENP","AK","Total number","all",396,437
"294","ENPAK30","ENP","AK","Total number","all",386,422
