"","ID1","ID2","kinship_B_separate_ENP","kinship_C_middle_ENP","kinship_A_all_ENP","PopId","SubPopId","SubPopId2"
"229","GOC063","GOC082",0.0639740218304499,0.0639740218304499,0.0639740218304499,"GOC","GOC","GOC"
"230","GOC063","GOC086",0.0334485647248371,0.0334485647248371,0.0334485647248371,"GOC","GOC","GOC"
"231","GOC063","GOC091",0.0599040366667489,0.0599040366667489,0.0599040366667489,"GOC","GOC","GOC"
"232","GOC063","GOC100",0.0393155500058793,0.0393155500058793,0.0393155500058793,"GOC","GOC","GOC"
"233","GOC063","GOC111",0.0755685159159954,0.0755685159159954,0.0755685159159954,"GOC","GOC","GOC"
"234","GOC063","GOC112",0.0591027161029421,0.0591027161029421,0.0591027161029421,"GOC","GOC","GOC"
"235","GOC063","GOC116",0.0521122369481993,0.0521122369481993,0.0521122369481993,"GOC","GOC","GOC"
"236","GOC063","GOC125",0.0795548572890559,0.0795548572890559,0.0795548572890559,"GOC","GOC","GOC"
"237","GOC068","GOC071",0.0403999895981962,0.0403999895981962,0.0403999895981962,"GOC","GOC","GOC"
"238","GOC068","GOC077",0.0621741043322617,0.0621741043322617,0.0621741043322617,"GOC","GOC","GOC"
"239","GOC068","GOC080",0.059762042419854,0.059762042419854,0.059762042419854,"GOC","GOC","GOC"
"240","GOC068","GOC082",0.053778142836346,0.053778142836346,0.053778142836346,"GOC","GOC","GOC"
"241","GOC068","GOC086",0.0564063028625445,0.0564063028625445,0.0564063028625445,"GOC","GOC","GOC"
"242","GOC068","GOC091",0.0289920473923688,0.0289920473923688,0.0289920473923688,"GOC","GOC","GOC"
"243","GOC068","GOC100",0.0109147020529596,0.0109147020529596,0.0109147020529596,"GOC","GOC","GOC"
"244","GOC068","GOC111",0.0788972321058368,0.0788972321058368,0.0788972321058368,"GOC","GOC","GOC"
"245","GOC068","GOC112",0.0454461664373821,0.0454461664373821,0.0454461664373821,"GOC","GOC","GOC"
"246","GOC068","GOC116",0.0531478149991697,0.0531478149991697,0.0531478149991697,"GOC","GOC","GOC"
"247","GOC068","GOC125",0.052413495469822,0.052413495469822,0.052413495469822,"GOC","GOC","GOC"
"248","GOC071","GOC077",0.0760798669908654,0.0760798669908654,0.0760798669908654,"GOC","GOC","GOC"
"249","GOC071","GOC080",0.0636069342731055,0.0636069342731055,0.0636069342731055,"GOC","GOC","GOC"
"250","GOC071","GOC082",0.0446838443818628,0.0446838443818628,0.0446838443818628,"GOC","GOC","GOC"
"251","GOC071","GOC086",0.0424574127848433,0.0424574127848433,0.0424574127848433,"GOC","GOC","GOC"
"252","GOC071","GOC091",0.0690519417236446,0.0690519417236446,0.0690519417236446,"GOC","GOC","GOC"
"253","GOC071","GOC100",0.0313359706338832,0.0313359706338832,0.0313359706338832,"GOC","GOC","GOC"
"254","GOC071","GOC111",0.0832624332210441,0.0832624332210441,0.0832624332210441,"GOC","GOC","GOC"
"255","GOC071","GOC112",0.0616438494232191,0.0616438494232191,0.0616438494232191,"GOC","GOC","GOC"
"256","GOC071","GOC116",0.0476793328036228,0.0476793328036228,0.0476793328036228,"GOC","GOC","GOC"
"257","GOC071","GOC125",0.0578186994149564,0.0578186994149564,0.0578186994149564,"GOC","GOC","GOC"
"258","GOC077","GOC080",0.0781706462254061,0.0781706462254061,0.0781706462254061,"GOC","GOC","GOC"
"259","GOC077","GOC082",0.0699849459501088,0.0699849459501088,0.0699849459501088,"GOC","GOC","GOC"
"260","GOC077","GOC086",0.0528619302497949,0.0528619302497949,0.0528619302497949,"GOC","GOC","GOC"
"261","GOC077","GOC091",0.0394636202040477,0.0394636202040477,0.0394636202040477,"GOC","GOC","GOC"
"262","GOC077","GOC100",0.0358827635213128,0.0358827635213128,0.0358827635213128,"GOC","GOC","GOC"
"263","GOC077","GOC111",0.0544799651212053,0.0544799651212053,0.0544799651212053,"GOC","GOC","GOC"
"264","GOC077","GOC112",0.0520723030874139,0.0520723030874139,0.0520723030874139,"GOC","GOC","GOC"
"265","GOC077","GOC116",0.0584201033811541,0.0584201033811541,0.0584201033811541,"GOC","GOC","GOC"
"266","GOC077","GOC125",0.0683778774006679,0.0683778774006679,0.0683778774006679,"GOC","GOC","GOC"
"267","GOC080","GOC082",0.0564106081848001,0.0564106081848001,0.0564106081848001,"GOC","GOC","GOC"
"268","GOC080","GOC086",0.0518926522612618,0.0518926522612618,0.0518926522612618,"GOC","GOC","GOC"
"269","GOC080","GOC091",0.0587196936726117,0.0587196936726117,0.0587196936726117,"GOC","GOC","GOC"
"270","GOC080","GOC100",0.0253192248756412,0.0253192248756412,0.0253192248756412,"GOC","GOC","GOC"
"271","GOC080","GOC111",0.112074979099933,0.112074979099933,0.112074979099933,"GOC","GOC","GOC"
"272","GOC080","GOC112",0.0535812838874207,0.0535812838874207,0.0535812838874207,"GOC","GOC","GOC"
"273","GOC080","GOC116",0.0668560383031168,0.0668560383031168,0.0668560383031168,"GOC","GOC","GOC"
"274","GOC080","GOC125",0.0974152286249573,0.0974152286249573,0.0974152286249573,"GOC","GOC","GOC"
"275","GOC082","GOC086",0.0206387021324295,0.0206387021324295,0.0206387021324295,"GOC","GOC","GOC"
"276","GOC082","GOC091",0.0440797447251869,0.0440797447251869,0.0440797447251869,"GOC","GOC","GOC"
"277","GOC082","GOC100",0.0178829741067725,0.0178829741067725,0.0178829741067725,"GOC","GOC","GOC"
"278","GOC082","GOC111",0.0566555466578402,0.0566555466578402,0.0566555466578402,"GOC","GOC","GOC"
"279","GOC082","GOC112",0.0391941221308462,0.0391941221308462,0.0391941221308462,"GOC","GOC","GOC"
"280","GOC082","GOC116",0.0488063816107179,0.0488063816107179,0.0488063816107179,"GOC","GOC","GOC"
"281","GOC082","GOC125",0.0661637106404031,0.0661637106404031,0.0661637106404031,"GOC","GOC","GOC"
"282","GOC086","GOC091",0.0440928627523676,0.0440928627523676,0.0440928627523676,"GOC","GOC","GOC"
"283","GOC086","GOC100",0.0245276020010012,0.0245276020010012,0.0245276020010012,"GOC","GOC","GOC"
"284","GOC086","GOC111",0.0657971925653781,0.0657971925653781,0.0657971925653781,"GOC","GOC","GOC"
"285","GOC086","GOC112",0.0575075711785047,0.0575075711785047,0.0575075711785047,"GOC","GOC","GOC"
"286","GOC086","GOC116",0.0524962028063199,0.0524962028063199,0.0524962028063199,"GOC","GOC","GOC"
"287","GOC086","GOC125",0.0398036147758121,0.0398036147758121,0.0398036147758121,"GOC","GOC","GOC"
